Model,K,Precision@K,Recall@K,NDCG@K,MAP@K,F1@K,ILD@K,Serendipity@K,Novelty@K,DOPM@K,LongTailCoverage@K,FAS_Fairness@K,GenreEntropy@K,ProducerFairness@K,GenreCoverage@K,CatalogCoverage@K
pmoea,5,0.13826086956521738,0.07254506778230382,0.21890226882341265,0.15637650966183575,0.07786529221449563,0.7056521739130436,0.05705586912862468,0.1388057925722017,1.6444048037322025,0.02043478260869566,0.8829452079550586,1.6672996012571246,0.1735295062328722,1.0,0.19262782401902498
pmoea,10,0.09934782608695653,0.096938187202746,0.25405903804542124,0.17194498874428996,0.08014348405141536,0.5252173913043477,0.05720165502479262,0.13718402253326137,1.6528851773842042,0.02010869565217391,0.900196315346294,2.120221563336601,0.15509965706685036,1.0,0.2390011890606421
pmoea,15,0.07594202898550724,0.10897805511953731,0.28738217340633154,0.197125924284213,0.07380366897707623,0.42891304347826087,0.05680379423766655,0.13724544454490867,1.6403379831349871,0.021739130434782608,0.9082799486476364,2.318084908332783,0.14466626279754558,1.0,0.267538644470868
pmoea,20,0.06222826086956522,0.11752727194648006,0.3258903715203524,0.23064486752348226,0.06826267561679832,0.36331521739130435,0.05697053646125146,0.13766629555125404,1.6464155914886431,0.021684782608695653,0.9120601441201507,2.4264227488473677,0.1401553695581052,1.0,0.2907253269916766
pmoea,25,0.05334782608695652,0.12300314625941579,0.3668032139876402,0.26757879313437183,0.06331702749417299,0.3185217391304348,0.05707618660685896,0.13773352911812364,1.6492400208484173,0.021608695652173913,0.9148937629368792,2.5027700841450162,0.1370487760324533,1.0,0.31331747919143876
pmoea,30,0.04721014492753623,0.12969355780169242,0.40385708911296925,0.302608559790285,0.05950664481966572,0.28380434782608693,0.05696249817226181,0.13751315866042388,1.650026985790403,0.02144927536231884,0.916588984917697,2.554522564999588,0.13413990630178482,1.0,0.33115338882282996
chmaor,5,0.0013043478260869566,0.00037390771526001705,0.0010196882848711216,0.0004202898550724638,0.0005488877351059467,0.671086956521739,0.0023456038013360643,0.6811781626407246,0.0816518955005295,0.8682608695652173,0.8825058822228583,1.571517182109201,0.0033399391010653654,1.0,0.5338882282996433
chmaor,10,0.0007608695652173914,0.0004191975703324808,0.0008063296751963773,0.0002454710144927536,0.0005035901717707874,0.4948913043478261,0.0024842256398972615,0.6811717056334267,0.08320304640975432,0.8695652173913043,0.9076039254768216,2.0018096874591507,0.0034585647692082343,1.0,0.6426872770511296
chmaor,15,0.0007971014492753624,0.0010953104067714043,0.0010498388435374257,0.00026095884791536964,0.0008117828295157566,0.40362318840579714,0.0022211058956450457,0.6812188962253781,0.08365184996088232,0.8699275362318841,0.9199886665955644,2.1788484289808103,0.0032041511213107146,1.0,0.6932223543400713
chmaor,20,0.0006521739130434783,0.001123914525764539,0.0011164805568360176,0.00026672878989812633,0.0007213288837550237,0.34646739130434784,0.0021208827581111803,0.6815388560999757,0.08299312607895261,0.8695108695652174,0.9268515784451187,2.2863710430801487,0.0030801896301283897,1.0,0.7187871581450654
chmaor,25,0.0006086956521739131,0.0011954372059828715,0.001167602645505359,0.00027038918384785713,0.0007013611304046531,0.306304347826087,0.0021150964407344783,0.6826912102478336,0.08212697132514751,0.8709565217391304,0.9311546936821236,2.35652046311734,0.0030076774227994186,1.0,0.7461355529131986
chmaor,30,0.0005434782608695652,0.0017389154668524366,0.001300795281574369,0.00029231020333180566,0.0006915572290215159,0.2766304347826087,0.0021165964364705018,0.6825591308040697,0.08174371033727193,0.871376811594203,0.9342838876292687,2.4059019484585487,0.003011238045705162,1.0,0.7675386444708681
maora_imf,5,0.2391304347826087,0.1385789181040032,0.26162519322212024,0.1651292270531401,0.1469930006272445,0.7521739130434782,0.08719130669633002,0.2755995698388704,1.2243833822595542,0.10086956521739131,0.8914253198763357,1.7885646261303956,0.1785308799632348,1.0,0.56064209274673
maora_imf,10,0.22576086956521738,0.26138511508040113,0.2974892190822318,0.16341501220053237,0.20016666523444832,0.5808695652173913,0.08886732912690756,0.2768593775126566,1.2404746879728457,0.10065217391304347,0.9155955402867897,2.3172821278815947,0.15820708547813164,1.0,0.6129607609988109
