Model,K,Precision@K,Recall@K,NDCG@K,MAP@K,F1@K
FAS-MOEA,5,0.21543478260869564,0.11066568206197072,0.2385126813429906,0.16259601449275363,0.12213132324311753
FAS-MOEA,10,0.1907608695652174,0.19140305106334465,0.24440187534472138,0.14135057890909986,0.15622559025350266
FAS-MOEA,15,0.17195652173913042,0.2582008610179978,0.2560903299118519,0.13565263988700538,0.17040026758295865
FAS-MOEA,20,0.15586956521739131,0.3086843312713666,0.2670971245266669,0.1344932783763539,0.1731284978211942
FAS-MOEA,25,0.14395652173913046,0.3494821921302,0.2780647467083178,0.13535892050716644,0.17267153204725427
FAS-MOEA,30,0.1328985507246377,0.3824006571698696,0.2878766726497288,0.13704438627733573,0.1688636389425251
MSRS,5,0.15065217391304347,0.06434336070305306,0.15996880325696877,0.09741183574879228,0.0772603843291999
MSRS,10,0.13717391304347828,0.11728154210698444,0.16289718487859653,0.08123193129908969,0.10604513133557862
MSRS,15,0.1298550724637681,0.1677410784347061,0.17383548558246575,0.07831821955722917,0.12251181635865795
MSRS,20,0.12641304347826088,0.22001097815817372,0.189515038191512,0.08018868598899594,0.13531422446090596
MSRS,25,0.12369565217391305,0.2725733448961765,0.20628079396963644,0.08371993848079223,0.14433004573153088
MSRS,30,0.1197463768115942,0.31214906162616585,0.22013890749730536,0.08703995411061166,0.14843355778049797
