Model,K,ILD@K,Novelty@K,Serendipity@K
FAS-MOEA,5,0.6506521739130434,0.17824337829654668,0.1263507447504728
FAS-MOEA,10,0.4731521739130435,0.185882958852289,0.13306296157583036
FAS-MOEA,15,0.3778985507246377,0.1938478575793783,0.1379009829955842
FAS-MOEA,20,0.3229347826086956,0.20093903735107943,0.14207075221169857
FAS-MOEA,25,0.28647826086956524,0.2085247127223046,0.14544176681641283
FAS-MOEA,30,0.2610144927536232,0.21443373009494862,0.14888083544431152
MSRS,5,0.6771739130434783,0.1970756483050042,0.1609967485997168
MSRS,10,0.5026086956521739,0.20086829193791902,0.16392632385618292
MSRS,15,0.41000000000000003,0.2032491368673137,0.1658398563804942
MSRS,20,0.349945652173913,0.20599158338635512,0.16808426005504168
MSRS,25,0.3064347826086956,0.20780279527687773,0.16955658067532123
MSRS,30,0.27518115942028987,0.209526320008235,0.17100389205841834
